시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,해제사유발생일,거래구분,중개사사무소
경기도 김포시 통진읍 도사리,1*,단독,8m미만,81.55,397,202311,15,"28,000",2018,도사로,,중개거래,인천 서구
경기도 김포시 통진읍 도사리,6**,단독,8m미만,71.28,598,202401,18,"41,800",1993,김포대로,,중개거래,경기 김포시
경기도 김포시 통진읍 도사리,1**,단독,8m미만,180.91,650,202311,13,"37,000",2006,도사로,,중개거래,경기 김포시
경기도 김포시 통진읍 마송리,5**,다가구,12m미만,446.52,258.1,202312,29,"100,000",2011,율마로438번길,,직거래,-
경기도 김포시 통진읍 마송리,5**,다가구,12m미만,479.73,272.4,202306,12,"90,000",2011,율마로384번길,,직거래,-
경기도 김포시 통진읍 서암리,4**,다가구,12m미만,131.76,330,202309,19,"35,000",2014,서암로,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,8**,단독,8m미만,84.51,222,202310,20,"39,500",2018,담터로55번길,,직거래,-
경기도 김포시 통진읍 서암리,8**,단독,8m미만,99.05,328,202307,25,"65,700",2023,김포대로2344번길,,직거래,-
경기도 김포시 통진읍 서암리,8**,단독,8m미만,134.02,366,202308,8,"48,250",2017,담터로55번길,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,3**,단독,8m미만,146.4,485,202401,5,"76,487",2023,서암로194번길,,직거래,-
경기도 김포시 통진읍 옹정리,1**,단독,8m미만,77.94,325,202312,19,"15,000",2002,옹정로,,중개거래,경기 김포시
경기도 김포시 통진읍 옹정리,1**,단독,8m미만,143.1,588,202306,1,"62,250",2023,옹달샘로81번길,,중개거래,경기 김포시
경기도 김포시 풍무동,6*,다가구,8m미만,181.8,565,202311,27,"84,650",2015,풍무로131번길,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,8*,단독,8m미만,103.04,600,202311,22,"37,600",2004,월하로859번길,,중개거래,경기 김포시
경기도 김포시 하성면 봉성리,1**,단독,8m미만,132.1,495,202312,26,"26,000",2009,하사로,,직거래,-
경기도 김포시 하성면 봉성리,1**,단독,8m미만,401.38,862,202306,27,"81,000",2023,봉성로159번길,,중개거래,경기 김포시
경기도 김포시 하성면 양택리,2**,단독,8m미만,127.13,267,202311,27,"39,700",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 양택리,2**,단독,8m미만,127.13,267,202307,29,"42,700",2022,하성로794번길,,중개거래,경기 김포시
경기도 김포시 하성면 양택리,2**,단독,8m미만,199.78,809,202307,11,"73,200",1997,하성로,,중개거래,경기 김포시
경기도 김포시 하성면 후평리,5**,단독,8m미만,90.41,256,202307,4,"41,000",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 후평리,5**,단독,8m미만,90.41,256,202307,17,"41,000",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 후평리,5**,단독,8m미만,90.41,273,202306,19,"45,200",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 후평리,5**,단독,8m미만,153.07,318,202312,12,"55,000",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 후평리,5**,단독,8m미만,84.81,326,202306,19,"45,700",2022,하성로794번길,,직거래,-
