시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
경기도 김포시 통진읍 서암리,840-15,840,15,(840-15),55.59,41.18,202308,18,"13,400",4,2017,담터로 28,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,769-7,769,7,"대성주택가,나동",38.37,31.78,202311,15,"6,400",2,1991,조강로86번길 12,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,777-8,777,8,삼성타운밸리104동,54.96,43.12,202307,17,"12,300",3,2009,조강로86번길 40-15,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,846-11,846,11,"삼성타운하우스101동,102동",59.58,63.65,202309,5,"14,000",3,2016,담터로 43,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,846-5,846,5,"삼성타운하우스103동,104동",38.14,63.7,202308,17,"15,000",4,2016,담터로 45,,직거래,-
경기도 김포시 통진읍 서암리,846-14,846,14,삼성타운하우스2차201동,57.88,82,202306,1,"16,600",2,2017,담터로 47,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,846-14,846,14,삼성타운하우스2차201동,57.88,82,202308,28,"16,000",3,2017,담터로 47,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,846-14,846,14,삼성타운하우스2차201동,57.88,82,202401,28,"14,500",1,2017,담터로 47,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,846-23,846,23,삼성타운하우스3차301동,56.29,85,202310,24,"10,000",-1,2018,담터로 49-1,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,846-22,846,22,삼성타운하우스3차302동,56.29,85,202310,26,"17,500",2,2018,담터로 49-2,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,846-22,846,22,삼성타운하우스3차302동,56.29,85,202311,27,"16,600",3,2018,담터로 49-2,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,733-18,733,18,"선우아트빌1,2동",68.04,40.7,202306,27,"8,200",2,2002,조강로56번길 51-24,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,807-1,807,1,세종개나리빌라,51.11,91.11,202312,27,"7,200",3,1995,서암로131번길 50,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,721-12,721,12,세진맨션3차B동,74.38,37.25,202307,26,"11,900",3,2003,조강로56번길 18,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,721-12,721,12,세진맨션3차B동,72.85,37.25,202308,29,"8,000",4,2003,조강로56번길 18,,직거래,-
경기도 김포시 통진읍 서암리,838-1,838,1,연신뉴아트빌라나동,54.91,40.2,202306,22,"6,800",2,1999,조강로 124,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,886-10,886,10,온누리씨티201동202동,67.72,80.1,202309,7,"10,000",3,2017,조강로 148,,직거래,-
경기도 김포시 통진읍 서암리,730-9,730,9,"인원빌라1,2동",50.07,36.3,202306,30,"7,500",2,1993,서암로94번길 26-1,,직거래,-
경기도 김포시 통진읍 서암리,730-9,730,9,"인원빌라1,2동",48.6,35.26,202311,13,"6,700",4,1993,서암로94번길 26,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,730-9,730,9,"인원빌라1,2동",50.07,36.3,202311,18,"6,400",1,1993,서암로94번길 26-1,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,422-2,422,2,퀸즈파크A동,52.97,60.85,202312,6,"11,900",2,2017,서암로184번길 56-3,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,422-2,422,2,퀸즈파크A동,52.97,60.85,202401,19,"11,500",1,2017,서암로184번길 56-3,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,714-16,714,16,통진빌라나동,54.76,33.5,202310,14,"6,800",2,1986,조강로44번길 16-8,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,714-24,714,24,통진빌라마동,54.76,33.83,202311,20,"6,000",1,1986,조강로36번길 13,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,714-22,714,22,통진빌라사동,54.76,33.5,202311,30,"7,000",2,1986,조강로36번길 13-2,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,433-4,433,4,"한마음빌리지(A,B)",57.67,63.19,202311,8,"9,750",3,2001,소서명로 4-2,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,764-33,764,33,해오름타운110동,48.75,41.45,202401,4,"13,200",3,2015,조강로86번길 45-7,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,711-1,711,1,"현대타운가,나동",79.29,50.87,202308,24,"8,000",4,1991,조강로36번길 36-14,,직거래,-
경기도 김포시 통진읍 수참리,231-9,231,9,청우빌라B동,88.83,60.06,202309,3,"10,000",3,1998,김포대로1950번길 103,,중개거래,경기 김포시
경기도 김포시 풍무동,Apr.69,69,4,김포전원빌리지에이동비동,84.27,120.3,202311,7,"40,000",3,1993,풍무로131번길 24-34,,중개거래,경기 김포시
경기도 김포시 풍무동,Apr.69,69,4,김포전원빌리지에이동비동,82.5,117.76,202401,2,"40,000",3,1993,풍무로131번길 24-32,,중개거래,경기 김포시
경기도 김포시 풍무동,624-12,624,12,동성빌라가동,48.4,32.26,202309,17,"8,000",-1,1992,풍무로 41-37,,중개거래,경기 김포시
경기도 김포시 풍무동,Apr.88,88,4,매산빌라,84.06,84.58,202311,15,"19,000",1,1999,승가로 14-2,,직거래,-
경기도 김포시 풍무동,1-42,1,42,우진그린힐타운(1-42),51.24,34.08,202306,28,"9,000",2,1997,장릉로 37-6,,직거래,-
경기도 김포시 풍무동,624-5,624,5,풍무빌라가동,29.6,24.12,202312,8,"8,000",-1,1992,풍무로 41-35,,중개거래,서울 강서구
경기도 김포시 풍무동,1-71,1,71,"화인아트빌106,110동",52.59,61.37,202312,1,"6,500",-1,2001,장릉로 51-15,,중개거래,경기 김포시
경기도 김포시 풍무동,1-70,1,70,"화인아트빌108,109동",51.58,27.32,202306,15,"10,000",3,2001,장릉로 53-9,,중개거래,경기 김포시
경기도 김포시 풍무동,1-70,1,70,"화인아트빌108,109동",51.58,27.32,202310,2,"12,000",1,2001,장릉로 53-9,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,558-5,558,5,(558-5),49.56,99.17,202307,7,"7,000",3,1992,하성로447번길 50,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,610,610,0,"골드스카이빌101,102동",50.04,25.57,202308,22,"16,900",4,2018,태산로13번길 36,,직거래,-
경기도 김포시 하성면 마곡리,산35-3,35,3,"동성연립A,B동",50.93,92.4,202309,27,"9,000",1,1984,하성로 486,,직거래,-
경기도 김포시 하성면 마곡리,642-13,642,13,"미앤느101,102,103동",49.73,33.8,202308,7,"10,000",5,2015,태산로18번길 15,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,642-13,642,13,"미앤느101,102,103동",37.59,25.55,202312,8,"8,900",5,2015,태산로18번길 15,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,585,585,0,서울그린빌라,82.14,52.88,202308,10,"13,000",3,1998,하성로 480-27,,직거래,-
경기도 김포시 하성면 마곡리,606-8,606,8,신영광하이츠,84.75,65.6,202309,26,"10,000",4,2001,태산로19번길 5,,직거래,-
경기도 김포시 하성면 마곡리,631-7,631,7,"아느칸빌(201,202동)",69.09,58.26,202307,10,"11,880",4,2011,애기봉로806번길 68-34,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,631-27,631,27,아느칸빌(203동),67.39,49.13,202308,9,"12,000",3,2011,애기봉로806번길 68-32,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,639-10,639,10,"온누리베일리103동,104동",48.36,29.47,202306,26,"12,200",4,2016,태산로18번길 34,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,637-10,637,10,태산빌라(637-10),54.56,62.17,202306,17,"5,790",1,1991,애기봉로806번길 68-58,,직거래,-
경기도 김포시 하성면 마곡리,608-17,608,17,하성빌라(608-17),50.72,33.77,202310,30,"8,500",2,1991,태산로13번길 20-6,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,489-4,489,4,현대빌라(가동나동),75.81,117.98,202310,12,"10,000",2,1999,하성로447번길 33,,중개거래,경기 김포시
경기도 김포시 하성면 석탄리,330-8,330,8,(330-8),49.02,25.81,202311,20,"5,300",3,2010,석평로15번길 26,,직거래,-
경기도 김포시 하성면 석탄리,530-21,530,21,극동파크맨숀101동,61.11,48.26,202306,16,"9,800",3,2002,석평로 11,,중개거래,경기 김포시
경기도 김포시 하성면 석탄리,531,531,0,"극동파크맨숀103,104동",57,43.45,202308,10,"9,200",1,2002,석평로 9-11,,중개거래,경기 김포시
경기도 김포시 하성면 석탄리,531,531,0,"극동파크맨숀103,104동",57,43.45,202310,31,"11,500",3,2002,석평로 9-11,,중개거래,경기 김포시
경기도 김포시 하성면 석탄리,531-7,531,7,극동파크맨숀106동,57,37.09,202308,8,"12,000",4,2003,석평로 9-7,,중개거래,경기 김포시
경기도 김포시 하성면 석탄리,531-7,531,7,극동파크맨숀106동,57,37.09,202308,8,"12,000",4,2003,석평로 9-7,20230817,중개거래,경기 김포시
경기도 김포시 하성면 석탄리,525,525,0,"에이동,비동",53.58,51.18,202307,7,"7,000",2,1994,석평로15번길 49,,직거래,-
경기도 김포시 하성면 전류리,Sep.67,67,9,강변탑스빌B동,85.78,130.85,202309,6,"15,500",3,2002,금포로 1905-1,,직거래,-
경기도 김포시 하성면 전류리,Sep.67,67,9,강변탑스빌B동,85.78,130.85,202401,13,"9,000",2,2002,금포로 1905-1,,직거래,-
